Borough,Station,2009,2010,2011,2012,2013,2014,∆,∆%,2014 Rank
Manhattan,8 St-New York University,5414133,5474109,5779126,5663358,5379647,5635598,255951,4.80%,77
Manhattan,81 St-Museum of Natural History,4034001,4063020,4116976,4232404,4477625,4561347,83722,1.90%,106
Manhattan,86 St,6040177,5910540,6128225,6219513,6333352,6519979,186627,2.90%,67
Manhattan,86 St,18891890,19147021,19425347,19686985,20528208,20735032,206824,1%,9
Manhattan,86 St,3139359,3204204,3238616,3300644,3408922,3515551,106629,3.10%,145
Manhattan,96 St,11019564,11526582,11784341,12108040,12582947,13108304,525357,4.20%,23
Manhattan,96 St,7391483,7458694,7753114,7708346,7785646,7958453,172807,2.20%,48
Manhattan,96 St,2559373,2731945,2775904,2829949,2979535,3089701,110166,3.70%,163
Manhattan,Astor Place,5522077,5623822,5571077,5535996,5775276,5751688,-23588,-0.40%,75
Manhattan,Bowery,1051028,1044394,991686,968629,970576,1057000,86424,8.90%,357
Manhattan,Bowling Green,7931319,7770956,7793614,7990789,9081649,10261064,1179415,13%,31
Manhattan,Broad St,1795906,1636627,1473717,1315012,1436506,1662905,226399,15.80%,284
Manhattan,Broadway-Lafayette St    /Bleecker St,10439953,11062580,11651990,11792114,12560629,12913327,352698,2.80%,24
Manhattan,Brooklyn Bridge-City Hall /Chambers St,10669147,10783128,10681037,10650508,10721984,10938927,216943,2%,29
Manhattan,Canal St,1699577,1720337,1785923,1727415,1787110,1859071,71961,4%,251
Manhattan,Canal St,5331572,5351984,5646937,5612068,5922371,6013138,90767,1.50%,72
Manhattan,Canal St,15970032,16007057,15577018,15529659,15227139,15104077,-123062,-0.80%,18
Manhattan,Cathedral Pkwy-110 St,4359005,4220891,4440822,4491643,4557743,4301285,-256458,-5.60%,113
Manhattan,Cathedral Pkwy-110 St,2038519,2159675,2166542,2207790,2301545,2351549,50004,2.20%,211
Manhattan,Central Park North-110 St,2537204,2532019,2724841,2808386,2932790,3110140,177350,6%,162
Manhattan,Chambers St,5867390,6273448,6554728,6603287,6755281,6973674,218393,3.20%,62
Manhattan,Chambers St  /WTC /Park Place,14770515,14760127,15458781,15364366,15641210,16088983,447773,2.90%,16
Manhattan,Christopher St-Sheridan Sq,3482575,3454080,3471186,3435088,3433544,3480159,46615,1.40%,148
Manhattan,City Hall,2974836,2790204,2627822,2094122,1560414,1151646,-408768,-26.20%,344
Manhattan,Cortlandt St,0,0,0,0,0,0,,,
Manhattan,Cortlandt St,125457,1130741,1640638,2062289,1601732,1500040,-101692,-6.30%,302
Manhattan,Delancey St /Essex St,6297228,6745791,7172867,7280936,7759914,7909365,149451,1.90%,50
Manhattan,Dyckman St,2406407,2237661,1212678,1231954,2094538,2298848,204310,9.80%,216
Manhattan,Dyckman St,1681370,1931287,2326780,2344316,2112706,2158170,45464,2.20%,228
Manhattan,East Broadway,4042581,4001149,4057707,4021679,4208654,4379909,171255,4.10%,111
Manhattan,Franklin St,1660670,1719780,1777323,1714218,1703889,1745841,41952,2.50%,270
Manhattan,Fulton St,18845513,18303963,17971983,17868334,18721694,20102397,1380703,7.40%,11
Manhattan,Grand Central-42 St,42002971,41903210,42795505,42984249,44893301,46074652,1181351,2.60%,2
Manhattan,Grand St,7767488,7746428,7770139,7658249,7994060,8131543,137483,1.70%,45
Manhattan,Harlem-148 St,1003481,989568,1101666,1110842,1171372,1209633,38261,3.30%,336
Manhattan,Houston St,3910500,3966857,4225089,4287926,4510538,4562690,52152,1.20%,105
Manhattan,Inwood-207 St,2413925,2747423,3079573,2795992,2897438,2981271,83833,2.90%,171
Manhattan,Lexington Av   /59 St,18924005,19553597,20377141,20628942,21282767,21557198,274431,1.30%,8
Manhattan,Lexington Av-53 St  /51 St,18618358,18025148,18948032,19280036,20262110,20513370,251260,1.20%,10
Manhattan,Lexington Av-63 St,3989743,4889704,4722939,4566850,4462467,4479963,17496,0.40%,109
Manhattan,Marble Hill-225 St,1851554,1769012,1476489,1721707,1725406,1846582,121176,7%,255
Manhattan,Prince St,4856796,5146546,5603783,5508110,5209433,5311765,102332,2%,87
Manhattan,Rector St,2331905,2366733,2636681,3055453,3398383,3393420,-4963,-0.10%,151
Manhattan,Rector St,2662135,2463933,2413512,2053706,1524110,1116833,-407277,-26.70%,351
Manhattan,Roosevelt Island,1875228,2580003,2114468,2026567,1948925,1870476,-78449,-4.00%,250
Manhattan,South Ferry /Whitehall St,8823138,8807719,9073709,8123655,6192660,7116897,924237,14.90%,60
Manhattan,Spring St,3539095,3727534,3887184,3999949,4123703,4169799,46096,1.10%,119
Manhattan,Spring St,3223654,3301437,3589809,3718956,3874428,3965206,90778,2.30%,124
Manhattan,Times Sq-42 St        /42 St,58099313,58422597,60604822,62069437,63617614,65948730,2331116,3.70%,1
Manhattan,Wall St,7103567,6919577,7016078,7034940,7473489,7845023,371534,5%,51
Manhattan,Wall St,6333204,6393591,6526692,6658687,7231884,7437325,205441,2.80%,57
Manhattan,West 4 St-Washington Sq,12297799,12295023,12506322,12727443,13533369,13942101,408732,3%,20
Queens,103 St-Corona Plaza,5733398,5831332,6095306,6130376,6314870,6464627,149757,2.40%,68
Queens,104 St,510620,503835,523212,507774,516000,388144,-127856,-24.80%,411
Queens,104 St,771323,760419,782115,755193,779537,827890,48353,6.20%,380
Queens,111 St,3417102,3457250,3494533,3473313,3607926,3659225,51299,1.40%,140
Queens,111 St,783299,771073,798886,796622,795820,802831,7011,0.90%,383
Queens,111 St,790197,781872,805590,764882,780300,802275,21975,2.80%,384
Queens,121 St,651821,663832,694567,664855,688985,766469,77484,11.20%,387
Queens,169 St,2607968,2679080,2781001,2759602,2834112,2854274,20162,0.70%,177
Queens,21 St,333612,319984,364597,469173,422616,427353,4737,1.10%,410
Queens,21 St-Queensbridge,2354997,2653708,2707275,2654261,2631860,2683624,51764,2%,185
Queens,30 Av,4311747,4459345,4340888,4622323,4776709,4808350,31641,0.70%,100
Queens,33 St-Rawson St,3649228,3729133,3707015,3752701,3899003,3892589,-6414,-0.20%,129
Queens,36 Av,2290524,2354426,2246477,2412794,2462645,2439630,-23015,-0.90%,202
Queens,36 St,1060569,1128415,1238985,1257059,1278109,1307054,28945,2.30%,323
Queens,39 Av,789295,868691,823763,930291,1012381,1104375,91994,9.10%,354
Queens,40 St-Lowery St,3276105,3370172,3378636,3393418,3483507,3496675,13168,0.40%,146
Queens,46 St,2911842,2935729,2964965,2978233,3014082,3021219,7137,0.20%,166
Queens,46 St-Bliss St,4643082,4704924,4683092,4638262,4734334,4695672,-38662,-0.80%,102
Queens,52 St,2050269,2080234,2117202,2138307,2182725,2214115,31390,1.40%,223
Queens,63 Dr-Rego Park,4455069,4660828,4891415,4998378,5129203,5272014,142811,2.80%,89
Queens,65 St,1049810,1065702,1098734,1131591,1124823,1159576,34753,3.10%,342
Queens,67 Av,2791115,2757795,2791494,2770364,2818350,2851905,33555,1.20%,178
Queens,69 St,1618011,1696216,1649055,1647057,1671584,1685222,13638,0.80%,280
Queens,74-Bway /Jackson Hts-Roosevelt Av,16049407,16279556,16377496,16366669,16864938,17087795,222857,1.30%,14
Queens,75 Av,1109370,1134336,1171380,1130707,1155836,1131705,-24131,-2.10%,348
Queens,75 St-Elderts Ln,1146401,1102869,1128911,1107947,1138544,1172162,33618,3%,341
Queens,80 St,1267343,1259783,1283827,1294099,1310413,1507116,196703,15%,299
Queens,82 St-Jackson Hts,5227935,5110694,5163208,5013810,5139172,5172595,33423,0.70%,91
Queens,85 St-Forest Pkwy,1117772,1100059,1138842,1125639,1157863,1212661,54798,4.70%,335
Queens,88 St,786807,790264,805054,792615,808822,613296,-195526,-24.20%,399
Queens,90 St-Elmhurst Av,5456494,5482132,5480782,5428872,5513135,5480059,-33076,-0.60%,81
Queens,Aqueduct Racetrack,27004,29644,54183,0,213601,630644,417043,195.20%,396
Queens,Aqueduct-North Conduit Av,249341,238119,474915,890505,698115,357399,-340716,-48.80%,412
Queens,Astoria Blvd,3532735,3621730,3850546,3871213,3962838,3914637,-48201,-1.20%,128
Queens,Astoria-Ditmars Blvd,5033498,5102415,5203409,5233305,5405084,5416919,11835,0.20%,83
Queens,Beach 105 St,58588,65802,80580,82088,48916,82980,34064,69.60%,419
Queens,Beach 25 St,502246,388387,501037,437602,267585,519843,252258,94.30%,406
Queens,Beach 36 St,263693,326592,192676,217880,143400,272799,129399,90.20%,415
Queens,Beach 44 St,176647,143788,225250,161946,91331,181758,90427,99%,418
Queens,Beach 60 St,720544,789468,555937,588970,406698,772376,365678,89.90%,386
Queens,Beach 67 St-Arverne By The Sea,565130,473942,681006,572418,357807,701784,343977,96.10%,391
Queens,Beach 90 St,344465,338595,387012,305397,194416,306284,111868,57.50%,413
Queens,Beach 98 St,259501,215474,198503,193332,100594,200197,99603,99%,417
Queens,Briarwood-Van Wyck Blvd,1764008,1752198,1730276,1563242,1427813,1427017,-796,-0.10%,315
Queens,Broad Channel,93087,92523,88837,75969,36849,74386,37537,101.90%,420
Queens,Broadway,4012746,4078606,4007018,4161120,4325297,4407347,82050,1.90%,110
Queens,Court Sq,7384821,7249807,6334869,5340581,6072768,6664442,591674,9.70%,66
Queens,Elmhurst Av,4360761,4228036,4338857,4344648,4343633,4362316,18683,0.40%,112
Queens,Far Rockaway-Mott Av,1337737,1374989,1426835,1217871,806025,1486147,680122,84.40%,306
Queens,Flushing-Main St,18287069,18630490,18967751,19034789,19102434,19085948,-16486,-0.10%,12
Queens,Forest Av,1068754,1045413,1172881,1134938,1179301,1235376,56075,4.80%,331
Queens,Forest Hills-71 Av,8068855,8137277,8316825,8342293,8573480,8585239,11759,0.10%,41
Queens,Fresh Pond Rd,1450986,1453610,1617252,1590304,1534754,1676862,142108,9.30%,281
Queens,Grand Av-Newtown,5597743,5564842,5721038,5741626,5832568,5861823,29255,0.50%,73
Queens,Howard Beach-JFK Airport,976481,908576,928529,1074516,1626984,963503,-663481,-40.80%,367
Queens,Hunters Point Av,1662776,1623490,1655252,1704114,1710103,1791109,81006,4.70%,263
Queens,Jamaica Center-Parsons-Archer,11607937,11656110,12147163,12204423,12507906,12784635,276729,2.20%,25
Queens,Jamaica-179 St,6624050,6711779,6818728,6767423,6868439,6818494,-49945,-0.70%,65
Queens,Jamaica-Van Wyck,1339135,1421186,1527249,1552178,1565998,1587413,21415,1.40%,290
Queens,Junction Blvd,7054657,7140456,6963489,6784942,6816700,6946966,130266,1.90%,63
Queens,Kew Gardens-Union Turnpike,7958721,8170406,8179749,8296905,8609185,8363109,-246076,-2.90%,44
Queens,Mets-Willets Point,1862720,1856485,1729243,1693024,1902121,1875472,-26649,-1.40%,249
Queens,Middle Village-Metropolitan Av,1169385,1124754,1220377,1189616,1200171,1300110,99939,8.30%,325
Queens,Northern Blvd,2250701,2204923,2184353,2214223,2239136,2290836,51700,2.30%,218
Queens,Ozone Park-Lefferts Blvd,2243456,2221497,2286542,2246624,2262961,2263109,148,0%,221
Queens,Parsons Blvd,1838982,1903041,1920497,1950852,2035948,2052252,16304,0.80%,235
Queens,Queens Plaza,2421042,2408523,2550906,2747366,2855006,3005223,150217,5.30%,170
Queens,Queensboro Plaza,2792245,2813789,3047146,3350219,3569290,3785260,215970,6.10%,136
Queens,Rockaway Blvd,2254869,2353592,2373967,2446937,2637100,2575171,-61929,-2.30%,189
Queens,Rockaway Park-Beach 116 St,267902,268625,286902,251080,135956,231407,95451,70.20%,416
Queens,Seneca Av,691907,670795,758144,716729,711011,755026,44015,6.20%,388
Queens,Steinway St,4547327,4561738,4930914,4866245,4798179,4807448,9269,0.20%,101
Queens,Sutphin Blvd,1375351,1465324,1470022,1468970,1550363,1468419,-81944,-5.30%,310
Queens,Sutphin Blvd-Archer Av-JFK Airport,6418547,6447287,6839255,6975316,7303038,7633725,330687,4.50%,55
Queens,Vernon Blvd-Jackson Av,2939995,3110952,3170128,3357030,3726974,4169876,442902,11.90%,118
Queens,Woodhaven Blvd,1285768,1285323,1357800,1328319,1398536,1505920,107384,7.70%,300
Queens,Woodhaven Blvd,7447147,7307038,7241776,7157320,7157254,7125205,-32049,-0.40%,59
Queens,Woodside-61 St,5379712,5394103,5382589,5273308,5330760,5356621,25861,0.50%,86
