Borough,Station,2009,2010,2011,2012,2013,2014,∆,∆%,2014 Rank
The Bronx,Woodlawn,2194906,2379276,2494092,2417765,2423278,2375663,-47615,-2.00%,208
The Bronx,Zerega Av,713198,759280,825755,849815,985388,599478,-385910,-39.20%,402
Brooklyn,15 St-Prospect Park,1844403,1922348,1449241,1852346,2005424,2017347,11923,0.60%,241
Brooklyn,18 Av,1740190,1752952,1654305,1661770,1954729,1996205,41476,2.10%,244
Brooklyn,18 Av,1258172,1287551,1306839,1294568,1313344,1277024,-36320,-2.80%,327
Brooklyn,18 Av,1717106,1676056,1828462,1819255,1641928,1775695,133767,8.10%,266
Brooklyn,20 Av,1419604,1409313,1370001,1377648,1547029,1564060,17031,1.10%,294
Brooklyn,20 Av,1253690,1194973,1220065,1245145,1286961,1305487,18526,1.40%,324
Brooklyn,25 Av,1329003,1328491,1266146,1206526,1421090,1488192,67102,4.70%,305
Brooklyn,25 St,1179455,1208827,1243737,1198226,1218842,1274939,56097,4.60%,328
Brooklyn,36 St,3444333,3567832,3659139,3772420,3826400,3970318,143918,3.80%,123
Brooklyn,4 Av /9 St,3494753,3672622,4020665,4300400,4210873,4120946,-89927,-2.10%,120
Brooklyn,45 St,2317470,2284356,2328141,2255877,2251217,2323521,72304,3.20%,214
Brooklyn,50 St,944314,942902,897609,941157,1021409,1009971,-11438,-1.10%,362
Brooklyn,53 St,2382707,2370851,2401105,2357449,2387370,2405353,17983,0.80%,207
Brooklyn,55 St,577138,580913,586282,546080,601931,603320,1389,0.20%,401
Brooklyn,59 St,3736347,3867990,3819141,3848745,3968334,4094658,126324,3.20%,121
Brooklyn,7 Av,3014532,3064214,2953368,2824839,2905400,2932926,27526,0.90%,174
Brooklyn,7 Av,3316537,3397045,3934545,3699471,3904986,3886594,-18392,-0.50%,130
Brooklyn,71 St,1308071,1332009,1115321,1191257,1446020,1481633,35613,2.50%,308
Brooklyn,77 St,1539875,1545617,1579635,1600644,1645262,1711410,66148,4%,278
Brooklyn,79 St,1694385,1728820,1633616,1651785,1949861,2041896,92035,4.70%,237
Brooklyn,8 Av,3384130,3475890,3484429,3559576,3677764,3851372,173608,4.70%,133
Brooklyn,86 St,736775,770621,796379,811332,801109,837472,36363,4.50%,379
Brooklyn,86 St,3274415,3306164,3445470,3515085,3662602,3753132,90530,2.50%,137
Brooklyn,9 Av,1873361,1863019,1681423,1668767,1896942,1938987,42045,2.20%,247
Brooklyn,Alabama Av,683329,712714,759581,772447,770075,784998,14923,1.90%,385
Brooklyn,Atlantic Av-Barclays Ctr,10039490,10478354,10726332,11526090,13122876,13617153,494277,3.80%,21
Brooklyn,Atlantic Av,395884,424208,427914,444960,482835,535041,52206,10.80%,405
Brooklyn,Avenue H,819739,662564,521818,823237,875106,896279,21173,2.40%,373
Brooklyn,Avenue I,725876,708788,696851,684241,699582,696140,-3442,-0.50%,393
Brooklyn,Avenue J,1886881,2059453,2085557,1807574,1867576,1850087,-17489,-0.90%,253
Brooklyn,Avenue M,1661369,1351418,1345774,1608901,1730576,1731955,1379,0.10%,271
Brooklyn,Avenue N,999622,1016781,1049752,1012534,1044429,1050916,6487,0.60%,358
Brooklyn,Avenue P,830813,829508,836317,825620,861095,864424,3329,0.40%,376
Brooklyn,Avenue U,673170,723222,696998,707595,717486,699414,-18072,-2.50%,392
Brooklyn,Avenue U,1255861,1263986,1244178,1297870,1211062,1251276,40214,3.30%,329
Brooklyn,Avenue U,1829675,1325173,2136714,2071874,2176073,2175035,-1038,0.00%,227
Brooklyn,Avenue X,833930,843207,854737,860597,908520,892170,-16350,-1.80%,374
Brooklyn,Bay 50 St,941332,969133,920243,777836,847843,884302,36459,4.30%,375
Brooklyn,Bay Pkwy,2088844,2107643,2018400,2038864,2298420,2362284,63864,2.80%,210
Brooklyn,Bay Pkwy,417087,427277,434564,464906,487308,478322,-8986,-1.80%,408
Brooklyn,Bay Pkwy,2090204,2107881,2160569,2221968,2243082,2342792,99710,4.40%,212
